可信数据空间堡垒机单项服务统计,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,服务目录编号,服务类型,服务名称,数量,单位,单价,备注,开通时间,关停时间,计费开始时间, 本期计费开始时间,本期计费截至日期,本月核算天数,本月核算金额,截至2026年4月30日应计费天数,合计费用,,
36,网络安全服务,云堡垒机（20资产）,1,套/日,25.62,173.100.102.82,,2026-01-23 00:00:00,,2026-04-23 00:00:00,2026-04-23 00:00:00,2026-04-30 00:00:00,30,768.6,8,204.96,,
,,,,,,173.100.102.81,,,,,,,,,,,,
,,,,,,173.100.102.80,,,,,,,,,,,,
,,,,,,173.100.102.79,,,,,,,,,,,,
,,,,,,173.100.102.12,,,,,,,,,,,,
,,,,,,173.100.102.75,,,,,,,,,,,,
,,,,,,173.100.102.74,,,,,,,,,,,,
,,,,,,173.100.102.72,,,,,,,,,,,,
,,,,,,173.100.102.73,,,,,,,,,,,,
,,,,,,173.100.102.71,,,,,,,,,,,,
,,,,,,173.100.102.69,,,,,,,,,,,,
,,,,,,173.100.102.70,,,,,,,,,,,,
,,,,,,173.100.102.68,,,,,,,,,,,,
,,,,,,173.100.102.67,,,,,,,,,,,,
,,,,,,173.100.102.66,,,,,,,,,,,,
,,,,,,173.100.102.65,,,,,,,,,,,,
,,,,,,173.100.102.13,,,,,,,,,,,,
,,,,,,173.100.102.35,,,,,,,,,,,,
,,,,,,173.100.102.34,,,,,,,,,,,,
,,,,,,173.100.102.33,,,,,,,,,,,,
36,网络安全服务,云堡垒机（20资产）,1,套/日,25.62,173.100.102.32,,2026-01-23 00:00:00,,2026-04-23 00:00:00,2026-04-23 00:00:00,2026-04-30 00:00:00,30,768.6,8,204.96,,
,,,,,,173.100.102.31,,,,,,,,,,,,
,,,,,,173.100.102.30,,,,,,,,,,,,
,,,,,,173.100.102.29,,,,,,,,,,,,
,,,,,,173.100.102.28,,,,,,,,,,,,
,,,,,,173.100.102.27,,,,,,,,,,,,
,,,,,,173.100.102.26,,,,,,,,,,,,
,,,,,,173.100.102.25,,,,,,,,,,,,
,,,,,,173.100.102.24,,,,,,,,,,,,
,,,,,,173.100.102.23,,,,,,,,,,,,
,,,,,,173.100.102.22,,,,,,,,,,,,
,,,,,,173.100.102.21,,,,,,,,,,,,
,,,,,,173.100.102.20,,,,,,,,,,,,
,,,,,,173.100.102.19,,,,,,,,,,,,
,,,,,,173.100.102.18,,,,,,,,,,,,
,,,,,,173.100.102.17,,,,,,,,,,,,
,,,,,,173.100.102.16,,,,,,,,,,,,
,,,,,,173.100.102.15,,,,,,,,,,,,
,,,,,,173.100.102.14,,,,,,,,,,,,
,,,,,,173.100.102.11,,,,,,,,,,,,
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,173.100.102.10,,2026-01-23 00:00:00,,2026-04-23 00:00:00,2026-04-23 00:00:00,2026-04-30 00:00:00,30,58.5,8,15.6,,
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,173.100.102.9,,2026-01-23 00:00:00,,2026-04-23 00:00:00,2026-04-23 00:00:00,2026-04-30 00:00:00,30,58.5,8,15.6,,
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,173.100.102.8,,2026-01-23 00:00:00,,2026-04-23 00:00:00,2026-04-23 00:00:00,2026-04-30 00:00:00,30,58.5,8,15.6,,
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,173.100.102.7,,2026-01-23 00:00:00,,2026-04-23 00:00:00,2026-04-23 00:00:00,2026-04-30 00:00:00,30,58.5,8,15.6,,
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,173.100.102.5,,2026-01-23 00:00:00,,2026-04-23 00:00:00,2026-04-23 00:00:00,2026-04-30 00:00:00,30,58.5,8,15.6,,
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,173.100.102.6,,2026-01-23 00:00:00,,2026-04-23 00:00:00,2026-04-23 00:00:00,2026-04-30 00:00:00,30,58.5,8,15.6,,
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,173.100.102.4,,2026-01-23 00:00:00,,2026-04-23 00:00:00,2026-04-23 00:00:00,2026-04-30 00:00:00,30,58.5,8,15.6,,
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,173.100.102.3,,2026-01-23 00:00:00,,2026-04-23 00:00:00,2026-04-23 00:00:00,2026-04-30 00:00:00,30,58.5,8,15.6,,
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,173.100.102.2,,2026-01-23 00:00:00,,2026-04-23 00:00:00,2026-04-23 00:00:00,2026-04-30 00:00:00,30,58.5,8,15.6,,
